,Symbol,Revenuegrowth,ESG rating
0,A,-0.21952290355627102,11.36
1,AAPL,1.9819197770020587,16.79
2,ABBV,-6.8780146544423575,26.1
3,ABNB,15.307048502571341,23.75
4,ABT,-8.835922112244136,22.21
5,ACGL,27.35820670979389,20.27
6,ACN,1.209186065977339,11.91
7,ADBE,9.289504868875264,14.06
8,ADI,-30.532874333163225,18.28
9,ADM,-8.113056901048598,31.26
10,ADP,5.386210728411973,15.12
12,AEE,-6.093333333333333,26.23
13,AEP,-3.4621726555791446,22.09
14,AES,0.4025892011367225,23.48
15,AFL,-1.6453479114696672,17.46
16,AIG,-15.908658017819729,23.6
17,AIZ,8.431851665528765,23.48
18,AJG,15.104399368540196,20.26
19,AKAM,5.122510440932653,13.31
20,ALB,23.885312600763445,20.11
21,ALGN,3.3044124424559715,18.58
22,ALL,9.953760465197744,21.29
23,ALLE,10.378547167744056,19.83
24,AMAT,2.760493268469284,11.56
25,AMCR,-7.727272727272727,14.69
26,AMD,-4.060846560846561,13.83
27,AME,6.76706659895861,21.13
28,AMGN,6.622915927633913,22.76
29,AMP,8.220148052784037,18.71
30,AMT,3.8863265196245584,12.62
32,AMZN,10.578216202580096,29.01
33,ANET,25.235761159065746,13.71
34,ANSS,9.004431377092613,14.5
35,AON,6.70604066985646,15.29
36,AOS,2.5669642857142856,26.82
37,APA,-33.77219470950598,43.08
38,APD,-4.127068079268796,14.83
39,APH,-0.5440193712314909,17.89
40,APTV,12.777417585157846,12.89
41,ARE,10.283019815996056,13.14
42,ATO,-2.645019299253551,31.23
43,AVB,6.303061263936062,8.09
44,AVGO,7.303386470867417,19.2
45,AVY,-8.07001183601736,15.39
46,AWK,10.439300897496457,19.07
47,AXON,23.88756235644186,30.49
48,AXP,12.926792902937228,18.28
49,AZO,5.58704178868581,10.98
50,BA,14.379000951230173,36.55
51,BAC,3.683265537983993,24.36
52,BALL,-9.409081188965713,10.31
53,BAX,2.0725038817255115,21.84
54,BBY,-6.5497560526558045,13.8
55,BDX,3.994449400337001,23.67
56,BEN,7.41448454824251,19.48
58,BG,-12.9190460194827,32.92
59,BIIB,-3.434462564561389,20.51
60,BK,7.280402474989881,19.93
61,BKNG,20.009361104610342,16.35
62,BKR,17.054810632792282,19.12
63,BLDR,-32.923784006040705,26.73
64,BLK,-0.07839184724788623,18.25
65,BMY,-2.5618806381371373,21.2
66,BR,6.85283088461302,15.48
68,BRO,15.14978330237653,21.11
69,BSX,10.941011235955056,22.06
70,BWA,11.008592759543598,9.93
71,BX,-1.7980492529310375,23.59
72,BXP,5.04000373903834,11.99
73,C,4.0529521188492215,22.12
74,CAG,-1.8762084159689318,26.81
75,CAH,9.63201029859761,11.32
76,CARR,7.588922074395874,16.17
77,CAT,11.382344169400536,28.33
78,CB,13.589290731746479,22.4
79,CBOE,-4.902610308731947,21.46
80,CBRE,3.5087170177470344,6.31
81,CCI,-0.07162297665090961,11.98
82,CCL,43.64377344509795,21.28
83,CDNS,12.916132231259473,11.43
84,CDW,-11.099831586826348,7.49
85,CE,11.581352833638025,24.66
86,CEG,1.9182919977526285,28.49
87,CF,-68.69250490122154,28.0
88,CFG,2.091439688715953,22.97
89,CHD,8.38971352613371,22.65
90,CHRW,-40.35009802833447,17.36
91,CHTR,1.071291226399546,23.69
92,CI,7.764861389334331,12.99
93,CINF,34.45520822930191,23.11
94,CL,7.657912319473711,24.12
95,CLX,-4.173128436486677,20.03
96,CMCSA,0.11927088474319744,22.15
97,CME,10.028858735593039,17.08
98,CMG,12.530804124012107,20.12
99,CMI,17.586966094231617,18.77
100,CMS,-15.196998123827393,20.26
101,CNC,6.137702192871383,15.29
102,CNP,-7.187212511499539,24.78
103,COF,6.896457987876152,21.31
104,COO,7.92608260046755,14.69
105,COP,-39.81582087957108,33.14
106,COR,10.812811092489932,10.97
107,COST,4.780057613783292,29.12
108,CPAY,8.797624303467076,22.46
109,CPB,2.895392278953923,26.3
110,CPRT,8.669349651849984,15.68
111,CPT,7.734689470417832,14.18
112,CRL,3.7135822583812845,18.14
113,CRM,10.055369079381473,14.97
114,CRWD,26.650444845535425,17.75
115,CSCO,-5.938330576361913,12.91
116,CSGP,11.103869653767822,21.24
117,CSX,-1.3372450023879374,21.07
118,CTAS,8.136681527809547,17.03
119,CTLT,2.693448984250171,20.8
120,CTRA,-53.043625295908015,32.75
121,CTSH,-0.38753681599751977,15.19
122,CTVA,-1.3293858121444329,33.76
123,CVS,9.86902419390904,18.27
124,CVX,-19.70616465139427,35.31
125,CZR,6.132893823733519,20.24
126,D,3.161258945320642,28.58
127,DAL,12.861769570011026,30.38
128,DAY,17.671929708660898,17.28
129,DD,-7.863771958899569,26.52
130,DE,14.881821803213386,16.33
131,DECK,15.403766486160734,14.23
132,DELL,-15.692394684761096,15.7
133,DFS,16.185372005044137,22.81
134,DG,2.18844866337815,21.2
135,DGX,-6.820146995244271,20.49
136,DHI,3.6438831131424347,21.64
137,DHR,-11.523650062787777,10.47
138,DIS,2.695898687623822,15.14
139,DLR,14.336648797594185,12.63
140,DLTR,7.42424143407028,18.8
142,DOV,-0.8290221511059199,24.45
143,DOW,-27.52005737080364,19.62
144,DPZ,-1.2903634851244308,27.54
145,DRI,7.920983318700614,27.46
146,DTE,-50.86700666928207,31.28
147,DUK,1.0048176187198898,26.79
148,DVA,4.367764245358808,21.78
149,DVN,-25.632455105518414,31.55
150,DXCM,19.669823040609558,21.72
151,EA,1.798466014281936,12.96
152,EBAY,3.1348892405063293,15.36
153,ECL,7.391548413206094,23.86
154,ED,-6.867625997408442,21.11
155,EFX,2.7159462128694067,21.25
156,EG,17.133374818502386,17.96
157,EIX,-5.3984575835475574,23.97
158,EL,-1.9349051768323935,24.01
159,ELV,8.605696276409478,9.99
160,EMN,-14.87513572204126,24.63
161,EMR,13.303224331122799,22.79
162,ENPH,-1.74905032595799,19.9
163,EOG,-27.21939435769131,34.38
164,EPAM,-2.8601824097012285,27.36
165,EQIX,11.297210989167743,13.14
166,EQR,4.8290096883607445,11.43
167,EQT,-139.46083043292856,31.69
168,ERIE,13.840559214025316,27.91
169,ES,-3.1789134228410494,18.08
170,ESS,3.748723339892596,11.61
171,ETN,10.536299361958958,21.05
172,ETR,-13.31003673868969,24.88
173,EVRG,-6.370502160415381,29.24
174,EW,10.365041300293099,21.7
175,EXC,12.192203249413172,18.79
176,EXPD,-83.5600224083371,16.2
177,EXPE,9.128436794142845,22.54
178,EXR,24.844272655262543,14.15
179,F,10.292239671719896,22.8
180,FANG,-14.633856395625298,37.31
181,FAST,4.98318973144405,25.04
182,FCX,0.3281557646029315,28.1
183,FDS,5.335679165668053,16.5
184,FDX,-2.807521695004162,19.02
185,FE,3.193473193473193,28.12
186,FFIV,0.10478956862633695,16.3
187,FI,7.102079296077096,17.47
188,FICO,11.875744530213808,20.09
189,FIS,1.0385907748701761,14.36
190,FITB,4.173602853745541,16.87
191,FMC,-29.319336721048412,25.08
193,FOXA,-6.67381974248927,12.22
194,FRT,5.103192675201431,12.44
195,FSLR,21.071613890427354,17.31
196,FTNT,16.728246116724478,15.8
197,FTV,3.950340461312713,27.9
198,GD,6.777535957607873,34.09
199,GDDY,3.8268964058202672,18.99
200,GE,14.502457544809724,32.65
201,GEHC,6.19373977086743,21.46
202,GEN,12.434417628541448,14.78
204,GILD,-0.608496828440773,21.68
205,GIS,-1.1935217452611648,25.84
206,GL,4.05308237692181,20.28
207,GLW,-12.718462027327613,16.74
208,GM,8.791215186042994,27.02
209,GNRC,-13.475388343106701,21.93
211,GOOGL,7.989095428017463,23.89
212,GPC,4.307538865365618,12.83
213,GPN,7.0320544405623995,19.51
214,GRMN,7.0380310665974015,20.99
215,GS,-2.401954425563195,25.22
216,GWW,7.58587207185338,15.99
217,HAL,11.821183421669998,23.84
218,HAS,-17.056742549917058,7.28
219,HBAN,1.440217391304348,16.58
220,HCA,7.288203423223741,27.76
221,HD,-3.100825969908757,12.85
222,HES,-7.734754067167729,31.97
223,HIG,10.176736539251953,16.78
224,HII,6.792386939060591,34.21
225,HLT,14.284318514899855,17.44
226,HOLX,-0.002481204873086371,21.56
227,HON,3.262233375156838,27.12
228,HPE,2.1932383730907845,11.48
229,HPQ,-17.111582709706244,10.59
230,HRL,-2.8802288354840333,26.11
231,HSIC,-2.4961504173758002,14.5
232,HST,7.606853699868197,12.86
233,HSY,6.678894172069268,22.02
234,HUBB,7.910067189041301,17.94
235,HUM,12.694831443773854,18.9
236,HWM,14.713855421686747,23.62
237,IBM,2.150016165535079,13.27
238,ICE,2.696152681005756,18.59
239,IDXX,8.020561859166179,16.32
240,IEX,2.8101041571214758,30.65
241,IFF,-8.371809391061939,23.17
242,INCY,8.145091701078755,23.71
243,INTC,-16.275724717857933,15.34
244,INTU,11.771568928461775,16.82
245,INVH,7.98251680112224,16.01
246,IP,-11.868259674349757,23.43
247,IPG,-0.35355807995004274,8.69
248,IQV,3.8307528029898554,16.07
249,IR,13.958493913701082,10.6
250,IRM,6.873998798238561,14.14
251,ISRG,12.659844752319591,18.03
252,IT,7.298344528044563,19.25
253,ITW,1.086484137331595,22.62
254,IVZ,-5.816597858792247,21.1
255,J,5.647546579014708,23.45
256,JBHT,-15.466763941225278,14.34
257,JBL,-20.14679915521241,9.53
258,JCI,2.705646566747996,16.06
259,JKHY,6.221544786086301,18.66
260,JNJ,6.069822332343029,20.1
261,JNPR,4.731781831251685,12.85
262,JPM,16.980097062316073,27.51
263,K,3.574150281969212,30.33
264,KDP,5.1100310517078436,23.97
265,KEY,-13.049074818986323,22.44
266,KEYS,0.8052708638360175,8.95
267,KHC,0.5818318318318318,31.02
268,KIM,3.1241448917797463,10.39
269,KKR,61.14566424187331,22.02
270,KLAC,-6.968933823210932,16.18
271,KMB,1.2529978953550978,24.45
272,KMI,-25.211947306638844,23.27
273,KMX,-11.866250578458578,11.08
274,KO,6.010403461992394,24.16
275,KR,1.1870247069095368,22.8
276,KVUE,3.1986531986531985,17.02
277,L,10.383977548156654,29.08
278,LDOS,6.749578961005312,17.26
279,LEN,1.642713135483084,26.02
280,LH,2.4478687014866463,19.74
281,LHX,12.137597198619908,20.1
282,LIN,-1.552322396055275,11.63
283,LKQ,7.73114092023655,10.99
284,LLY,16.359991911874598,23.62
285,LMT,2.348640689052996,28.14
286,LNT,-4.420163893717407,17.11
287,LOW,-12.36671799205807,11.88
288,LRCX,-16.927639445231407,12.21
289,LULU,15.684753055270884,14.11
290,LUV,8.727147292169715,28.41
291,LVS,60.37408407250289,20.65
292,LW,17.270703197476653,22.51
293,LYB,-22.730921740822733,19.75
294,LYV,26.672818712217417,17.33
295,MA,11.399314686429198,16.13
296,MAA,5.985753569520235,11.68
297,MAR,12.398262556403662,19.2
298,MAS,-8.949416342412452,22.27
299,MCD,9.065376936262684,25.93
300,MCHP,-10.535209053756681,29.56
301,MCK,10.435311748464967,13.22
303,MDLZ,12.549977787649933,21.06
304,MDT,3.513162773451984,22.16
305,MET,-2.130799463911937,14.88
306,META,13.560214081333116,32.73
307,MGM,18.786916732104288,24.2
308,MHK,-5.405871425665564,13.98
309,MKC,4.6786346852391105,25.85
310,MKTX,4.550812108745368,13.87
311,MLM,9.096677093785043,27.47
312,MMC,8.866995073891626,19.98
313,MMM,-4.73669716348949,40.71
314,MNST,11.610278224438087,32.89
315,MO,-0.9072285630670178,31.32
316,MOH,6.157548720356891,23.14
317,MOS,-39.63975146209505,37.28
318,MPC,-19.5944169997102,30.34
319,MPWR,1.4784698243671859,19.03
320,MRK,1.3840139732179988,19.96
321,MRNA,-179.46402132069886,19.16
322,MRO,-17.683783361947867,39.8
323,MS,0.9019677502121697,24.82
324,MSCI,11.084652737136802,14.4
325,MSFT,13.547131632411617,14.23
326,MSI,8.679094006814992,12.39
327,MTB,14.737178123004895,25.26
328,MTCH,5.221007316383039,16.74
329,MTD,-3.4685660541418346,10.73
330,MU,38.11477041933814,18.6
331,NCLH,43.34733267804486,23.94
332,NDAQ,-2.671503957783641,13.63
333,NDSN,1.4590859428021876,24.15
334,NEE,25.460624599843495,24.88
335,NEM,-0.8719945817812393,21.39
336,NFLX,6.250121392341917,15.49
337,NI,-6.2702074327024375,20.58
338,NKE,0.2823098788987968,18.71
339,NOC,6.841435479765844,26.61
340,NOW,19.23977260060194,15.0
341,NRG,-9.436908024841273,34.19
342,NSC,-4.845343863112865,23.29
343,NTAP,-1.4996809189534142,14.34
344,NTRS,0.18159001993061194,24.92
345,NUE,-19.5859415044308,31.93
346,NVDA,55.723712287843476,12.9
347,NVR,-10.523436612633876,21.0
349,NWSA,2.042637580565196,9.98
350,NXPI,0.5347996384453149,19.17
351,O,18.026802203386964,15.53
352,ODFL,-6.7152197897361,15.93
353,OKE,-26.644792668439216,25.19
354,OMC,2.743632675841603,14.45
355,ON,-0.8869501999272991,21.02
356,ORCL,5.677762882120805,14.53
357,ORLY,8.869009786715996,11.78
358,OTIS,3.6878035048208884,18.77
359,OXY,-29.64575149520473,37.83
360,PANW,14.136406104017441,13.64
361,PARA,-1.6929718062862538,14.09
362,PAYC,18.80267395024072,18.87
363,PAYX,5.1380179224371485,16.67
364,PCAR,17.9566378382687,24.49
365,PCG,11.24938595054855,30.51
366,PEG,12.78811070570437,21.16
367,PEP,5.552579506072963,20.82
368,PFE,-71.5160010940919,19.22
369,PFG,-28.321064262611777,11.39
370,PG,2.4191149347326837,25.06
371,PGR,20.12795917677019,19.83
372,PH,4.337326086627102,26.69
373,PHM,0.36483961912086094,21.13
374,PKG,-8.658874192556135,17.64
375,PLD,25.547266400605523,10.57
376,PLTR,14.343338373006528,22.63
377,PM,9.700346847102974,24.79
378,PNC,1.8364405597656797,23.71
379,PNR,-0.4214886100621269,22.0
380,PNW,7.913260481121025,25.83
381,PODD,23.086441576807495,21.37
382,POOL,-11.515312829609526,10.93
383,PPG,3.255508056560342,22.3
384,PPL,4.9326275264677575,26.91
385,PRU,-4.966368745968857,18.63
386,PSA,7.426959353120733,13.08
387,PSX,-15.326426909273469,33.08
388,PTC,8.76316961877282,18.48
389,PWR,18.23707227100432,36.6
390,PYPL,7.5677672903160795,16.41
391,QCOM,8.064267748062214,12.17
392,QRVO,5.308573590279469,20.21
393,RCL,36.40287769784173,18.68
394,REG,7.443972094556685,11.31
395,REGN,7.1989448967767515,16.62
396,RF,5.413255875363085,14.3
397,RJF,9.26497349473851,26.68
398,RL,2.8319811804445516,13.91
399,RMD,9.86712261784045,24.67
400,ROK,-9.605285448077248,17.46
401,ROL,12.281837178413408,18.6
402,ROP,13.04671565929619,19.36
403,ROST,8.250070508620503,17.03
404,RSG,9.710982658959537,18.52
405,RTX,2.678467788740569,29.62
406,RVTY,-20.404890475468548,15.58
407,SBAC,2.8813416807297876,9.73
408,SBUX,0.5545082125817526,22.26
409,SCHW,-10.219249349684132,23.3
410,SHW,3.9172476021499314,29.38
411,SJM,-4.285522148996784,27.19
412,SLB,15.222574317187265,18.48
414,SNA,5.018815272081518,27.6
415,SNPS,13.02629865134112,13.89
416,SO,-15.942660277986773,28.14
418,SPG,6.492306898450494,12.49
419,SPGI,10.530527326558374,11.45
420,SRE,13.642344497607656,23.22
421,STE,11.723488095532314,23.57
422,STLD,-18.437881012482045,31.46
423,STT,-1.506906655504395,23.56
424,STX,-12.715615936498246,11.55
425,STZ,5.111526029432432,26.39
427,SWK,-7.390486087788557,26.16
428,SWKS,-14.226902824317856,24.11
429,SYF,14.331841197622367,16.46
430,SYK,9.996097180212704,23.59
431,SYY,3.1949165440616913,15.27
432,T,1.3779527559055118,22.07
433,TAP,8.554874766067629,27.98
434,TDG,17.065491183879093,38.2
435,TDY,3.13902936740307,34.28
436,TECH,1.9289769295808672,25.97
437,TEL,-1.1928053013568949,13.3
438,TER,-17.888404056648397,15.34
439,TFC,1.5177426250534416,17.12
440,TFX,6.167378665713674,23.77
441,TGT,-1.5901389044054668,17.08
442,TJX,7.896047365217552,15.49
443,TMO,-4.802016006720022,12.69
444,TMUS,-1.2894931133684666,22.97
445,TPR,0.15439501139225328,13.06
446,TRGP,-30.320106100135114,31.82
447,TRMB,3.2221549477452816,9.55
448,TROW,-0.4318551195727885,16.8
449,TRV,10.82106687936577,20.55
450,TSCO,2.4115845424839586,13.91
451,TSLA,15.82156179926219,24.73
452,TSN,0.8028663077529122,36.82
453,TT,9.536928089785944,14.8
454,TTWO,-0.0056078959174517716,15.87
455,TXN,-14.32159369827045,22.09
456,TXT,5.94898779507418,33.8
457,TYL,5.202866554186471,18.43
458,UAL,16.311409795781596,31.62
459,UBER,14.495319331562994,20.38
460,UDR,6.765894460279902,12.93
461,UHS,6.179859145541205,30.82
462,ULTA,8.91135895942137,13.78
463,UNH,12.352904365050213,16.54
464,UNP,-3.1344583108752433,20.0
465,UPS,-10.312451900877328,18.77
466,URI,18.76918783142618,15.74
467,USB,13.668653839288902,24.21
468,V,9.110393586817347,15.39
469,VICI,27.99818271821501,13.92
470,VLO,-21.840072945304836,30.54
471,VLTO,3.007369049990042,23.93
472,VMC,5.997250028913247,28.44
473,VRSK,6.877004549862012,16.29
474,VRSN,4.567677985399504,20.94
475,VRTX,9.509382726056822,19.56
476,VST,7.111441910819407,29.33
477,VTR,8.195824339175338,11.16
478,VTRS,-5.417809151546973,25.43
479,VZ,-2.1354889754728528,19.32
480,WAB,13.58892218662809,22.7
481,WAT,-0.5256364462917262,12.77
482,WBA,5.808693060992293,15.57
483,WBD,18.16025749618838,18.12
484,WDC,5.268015073444589,9.69
485,WEC,-7.920836613066457,22.96
486,WELL,10.838807693026075,11.51
487,WFC,9.962831579839461,34.38
488,WM,3.564084989718986,18.83
489,WMB,-0.5317685889795545,19.61
490,WMT,5.6834715525554484,20.85
491,WRB,7.379239888172368,21.26
492,WST,2.132347955793613,17.97
493,WTW,6.506379837604134,16.89
494,WY,-32.70784467031535,15.31
495,WYNN,42.48493201898315,24.98
496,XEL,-7.77136421230466,26.57
497,XOM,-19.11519971795385,43.66
498,XYL,25.01357957631722,22.86
499,YUM,3.306953080836631,20.51
500,ZBH,6.14400476048795,26.19
501,ZBRA,-26.112565445026174,9.94
502,ZTS,5.430711610486892,15.08
